date,temperature_2m_max,temperature_2m_min,precipitation_sum
2024-07-05,32.9,25.7,0.2
2024-07-06,33.4,26.1,0.0
2024-07-07,33.6,26.6,0.0
2024-07-08,34.0,26.7,0.2
2024-07-09,34.2,27.2,0.0
2024-07-10,31.0,24.8,5.1
2024-07-11,27.3,22.2,46.4
2024-07-12,28.2,22.4,6.6
2024-07-13,29.5,23.2,7.1
2024-07-14,26.6,24.2,43.8
2024-07-15,29.6,23.9,24.8
2024-07-16,31.5,23.8,2.6
2024-07-17,32.0,25.3,0.0
2024-07-18,33.0,24.3,1.6
2024-07-19,33.1,27.3,2.2
2024-07-20,34.0,26.0,2.2
2025-05-21,29.0,21.8,54.1
2025-05-22,21.3,17.3,44.1
2025-05-23,23.2,16.9,3.9
2025-05-24,24.0,16.8,59.5
2025-05-25,18.5,14.4,6.9
2025-05-26,21.0,12.8,0.0
2025-05-27,23.7,13.3,0.0
2025-05-28,24.4,14.4,0.0
2025-05-29,25.0,17.5,0.0
2025-05-30,21.3,16.3,2.6
2025-05-31,21.4,15.3,0.0
2025-06-01,24.7,15.8,0.0
2025-06-02,23.0,18.5,5.9
2025-06-03,21.2,17.9,18.8
2025-06-04,25.8,18.1,0.0
2025-06-05,24.9,17.1,0.0
2025-06-06,26.1,13.6,0.4
2025-06-07,28.1,17.6,0.1
2025-06-08,25.2,20.3,1.3
2025-06-09,24.1,20.5,4.1
2025-06-10,25.1,21.1,57.9
2025-06-11,24.5,19.6,36.1
2025-06-12,23.3,19.5,55.4
2025-06-13,27.6,20.9,11.3
2025-06-14,26.3,23.2,22.2
2025-06-15,30.5,23.0,2.5
2025-06-16,30.3,21.8,3.5
2025-06-17,30.9,21.1,0.0
2025-06-18,27.7,24.3,
